"Season","Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"2008","Brian Anderson","White Sox","109","193","8","24","26","5","5.2 %","23.3 %",".204",".266",".232",".272",".436",".306","79","1.4","-3.6","1.4","0.4","6144"
"2005","Doug Mirabelli","Red Sox","50","152","6","16","18","2","9.2 %","31.6 %",".184",".305",".228",".309",".412",".317","89","0.3","-1.9","1.1","0.4","202"
"2007","Chris Coste","Phillies","48","137","5","15","22","0","2.9 %","14.6 %",".140",".298",".279",".311",".419",".317","84","-0.4","-3.3","3.3","0.4","7243"
"2007","Mark Sweeney","- - -","106","141","2","20","13","2","9.9 %","20.6 %",".122",".326",".260",".350",".382",".331","95","1.3","0.4","-0.6","0.4","1408"
"2004","Hiram Bocachica","Mariners","50","107","3","9","6","5","11.2 %","25.2 %",".156",".311",".244",".337",".400",".326","98","-0.7","-0.9","1.7","0.4","1404"
"2003","Greg Norton","Rockies","114","197","6","19","31","2","8.1 %","23.9 %",".184",".323",".263",".325",".447",".335","86","0.8","-2.8","0.8","0.4","1388"
"2004","Jose Vizcaino","Astros","138","385","3","34","33","1","5.2 %","10.1 %",".101",".299",".274",".311",".374",".295","72","0.9","-13.1","4.6","0.4","577"
"2003","Adam Riggs","Angels","24","72","3","11","5","3","12.5 %","12.5 %",".246",".245",".246",".343",".492",".359","121","-0.1","1.7","0.2","0.4","492"
"2002","Jack Wilson","Pirates","147","586","4","77","47","5","6.3 %","12.6 %",".080",".287",".252",".306",".332",".285","69","6.2","-16.7","2.0","0.4","1017"
"2007","Billy Butler","Royals","92","360","8","38","52","0","7.5 %","15.3 %",".155",".328",".292",".347",".447",".342","105","-2.1","0.0","-8.0","0.4","7399"
"2007","Luis Terrero","White Sox","61","139","5","18","12","4","8.6 %","25.2 %",".145",".286",".231",".348",".376",".331","95","-0.5","-1.4","1.0","0.4","1765"
"2006","Reggie Willits","Angels","28","58","0","12","2","4","19.0 %","17.2 %",".022",".343",".267",".411",".289",".336","101","0.8","0.8","1.6","0.4","5590"
"2002","Keith Ginter","- - -","28","99","1","7","8","0","17.2 %","15.2 %",".148",".277",".235",".374",".383",".344","108","0.8","1.7","-0.6","0.4","1500"
"2008","Miguel Montero","Diamondbacks","70","207","5","24","18","0","9.2 %","23.7 %",".179",".321",".255",".330",".435",".330","92","0.6","-1.4","-1.0","0.4","3364"
"2002","Charles Johnson","Marlins","83","280","6","18","36","0","11.1 %","21.8 %",".152",".260",".217",".301",".369",".286","74","-2.0","-11.3","6.5","0.4","523"
"2005","Rene Rivera","Mariners","16","50","1","3","6","0","2.0 %","22.0 %",".125",".500",".396",".408",".521",".405","155","-1.7","1.6","1.0","0.4","3648"
"2008","Felipe Lopez","- - -","143","532","6","64","46","8","8.1 %","15.4 %",".104",".328",".283",".343",".387",".325","94","-3.5","-7.3","-5.7","0.4","1311"
"2000","David Bell","Mariners","133","512","11","57","47","2","8.2 %","12.9 %",".134",".265",".247",".316",".381",".310","81","-0.9","-14.4","0.7","0.4","1108"
"2008","Travis Ishikawa","Giants","33","104","3","12","15","1","8.7 %","26.0 %",".158",".354",".274",".337",".432",".335","100","0.0","0.1","0.9","0.4","4793"
"2008","Angel Pagan","Mets","31","105","0","12","13","4","10.5 %","17.1 %",".099",".333",".275",".346",".374",".321","94","2.6","1.8","-0.9","0.4","2918"
"2005","Nate McLouth","Pirates","41","120","5","20","12","2","2.5 %","16.7 %",".193",".271",".257",".305",".450",".326","97","1.9","1.4","-1.0","0.4","3190"
"2001","Brian Schneider","Expos","27","48","1","4","6","0","12.5 %","6.3 %",".146",".316",".317",".396",".463",".366","116","0.0","1.0","1.7","0.4","795"
"2005","Sean Burroughs","Padres","93","317","1","20","17","4","7.6 %","12.9 %",".049",".288",".250",".318",".299",".277","71","0.1","-11.4","5.3","0.4","1021"
"2003","Todd Greene","Rangers","62","210","10","25","20","0","1.0 %","22.4 %",".205",".248",".229",".243",".434",".286","64","1.6","-7.8","4.8","0.4","1450"
"2006","Conor Jackson","Diamondbacks","140","556","15","75","79","1","9.7 %","13.1 %",".151",".312",".291",".368",".441",".352","105","-2.7","1.1","-15.4","0.4","5997"
"2000","Jose Offerman","Red Sox","116","527","9","73","41","0","13.3 %","13.3 %",".104",".283",".255",".354",".359",".326","86","-3.6","-13.4","-1.2","0.4","205"
"2005","John Rodriguez","Cardinals","56","176","5","15","24","2","10.8 %","25.6 %",".141",".386",".295",".382",".436",".353","116","0.6","4.1","-5.6","0.4","2338"
"2003","Brent Mayne","Royals","113","414","6","39","36","0","7.7 %","14.3 %",".099",".274",".245",".307",".344",".286","65","-1.8","-20.2","10.1","0.4","614"
"2004","Bengie Molina","Angels","97","363","10","36","54","0","5.0 %","9.6 %",".128",".280",".276",".313",".404",".311","87","-7.3","-13.1","5.0","0.4","24"
"2001","Greg Colbrunn","Diamondbacks","59","110","4","12","18","0","8.2 %","12.7 %",".206",".304",".289",".373",".495",".376","123","0.0","3.3","-2.6","0.4","51"
"2005","Jason Tyner","Twins","18","60","0","8","5","2","6.7 %","6.7 %",".054",".346",".321",".367",".375",".331","103","0.2","0.4","1.8","0.4","1232"
"2001","Alex Gonzalez","Marlins","145","561","9","57","48","2","5.3 %","19.1 %",".126",".299",".250",".303",".377",".293","77","-0.5","-17.4","3.3","0.4","520"
"2004","Josh Bard","Indians","7","23","1","5","4","0","13.0 %","0.0 %",".263",".368",".421",".478",".684",".480","199","0.1","3.0","0.5","0.4","1578"
"2001","Chris Wakeland","Tigers","10","36","2","5","6","0","0.0 %","36.1 %",".222",".333",".250",".250",".472",".302","85","0.0","-0.7","3.6","0.4","1013500"
"2000","Chris Singleton","White Sox","147","566","11","83","62","22","6.2 %","15.0 %",".127",".284",".254",".301",".382",".299","69","1.2","-22.9","6.6","0.4","170"
"2009","Mat Gamel","Brewers","61","148","5","11","20","1","12.2 %","36.5 %",".180",".371",".242",".338",".422",".331","100","1.0","1.0","-1.6","0.4","4034"
"2001","Ramon Martinez","Giants","128","446","5","48","37","1","8.5 %","11.7 %",".100",".276",".253",".323",".353",".295","78","-0.7","-13.6","3.1","0.4","1120"
"2002","Endy Chavez","Expos","36","138","1","20","9","3","3.6 %","11.6 %",".168",".330",".296",".321",".464",".336","100","-0.7","-0.7","0.4","0.4","768"
"2006","Marlon Byrd","Nationals","78","228","5","28","18","3","9.6 %","20.6 %",".127",".265",".223",".317",".350",".298","78","0.1","-6.5","3.2","0.4","950"
"2009","Brian Schneider","Mets","59","194","3","11","24","0","9.3 %","10.8 %",".118",".228",".218",".292",".335",".279","67","0.0","-7.9","5.7","0.4","795"
"2003","Tom Wilson","Blue Jays","96","287","5","37","35","0","9.8 %","27.9 %",".133",".353",".258",".331",".391",".319","89","0.3","-3.7","-2.1","0.4","1328"
"2006","Rob Mackowiak","White Sox","112","290","5","31","23","5","9.7 %","20.3 %",".114",".358",".290",".365",".404",".337","97","1.5","0.4","-6.3","0.4","995"
"2009","Carlos Delgado","Mets","26","112","4","15","23","0","10.7 %","17.9 %",".223",".333",".298",".393",".521",".395","145","-0.9","5.3","-4.8","0.4","1297"
"2000","Sandy Alomar Jr.","Indians","97","384","7","44","42","2","4.2 %","10.7 %",".115",".308",".289",".324",".404",".318","80","-0.5","-10.9","1.9","0.4","221"
"2009","Ian Desmond","Nationals","21","89","4","9","12","1","5.6 %","15.7 %",".280",".292",".280",".318",".561",".370","125","0.8","3.5","-2.3","0.4","6885"
"2000","Chris Richard","- - -","62","239","14","39","37","7","7.1 %","16.7 %",".279",".262",".265",".326",".544",".361","113","-0.9","3.4","-7.3","0.4","163"
"2003","David McCarty","- - -","24","57","1","6","8","0","5.3 %","24.6 %",".151",".436",".340",".368",".491",".369","125","1.0","2.8","-0.6","0.4","1462"
"2004","Henry Blanco","Twins","114","353","10","36","37","0","5.9 %","15.9 %",".162",".218",".206",".260",".368",".273","59","-1.8","-20.4","12.5","0.4","81"
"2006","Brent Clevlen","Tigers","31","42","3","9","6","0","4.8 %","35.7 %",".359",".381",".282",".317",".641",".393","138","0.1","2.2","0.6","0.4","4863"
"2000","Gerald Williams","Devil Rays","146","682","21","87","89","12","5.0 %","15.1 %",".153",".297",".274",".312",".427",".321","84","-3.0","-18.3","-1.7","0.4","1395"
"2008","Cody Ransom","Yankees","33","51","4","9","8","0","11.8 %","23.5 %",".349",".333",".302",".400",".651",".445","176","0.4","5.1","-2.8","0.4","1126"
"2005","Ben Johnson","Padres","31","88","3","10","13","0","12.5 %","26.1 %",".253",".260",".213",".310",".467",".328","105","-1.5","-0.9","2.1","0.4","2731"
"2000","Luis Matos","Orioles","72","201","1","21","17","13","6.0 %","14.9 %",".082",".261",".225",".281",".308",".266","52","0.8","-12.3","8.7","0.4","152"
"2003","Shane Spencer","- - -","119","448","12","39","49","2","10.0 %","20.5 %",".142",".294",".251",".328",".392",".318","90","2.2","-3.4","-8.0","0.4","848"
"2006","Bobby Crosby","Athletics","96","398","9","42","40","8","9.0 %","19.1 %",".109",".265",".229",".298",".338",".283","67","1.9","-15.0","5.3","0.4","1818"
"2006","Jason Lane","Astros","112","345","15","44","45","1","14.2 %","21.7 %",".191",".213",".201",".318",".392",".313","85","2.7","-4.2","-3.2","0.4","1397"
"2007","Felix Pie","Cubs","87","194","2","26","20","8","7.2 %","22.2 %",".119",".271",".215",".271",".333",".268","51","3.5","-8.8","6.5","0.4","3751"
"2003","Dustan Mohr","Twins","121","387","10","50","36","5","8.5 %","27.4 %",".149",".328",".250",".314",".399",".313","87","-2.7","-8.8","-0.5","0.4","744"
"2003","Eddie Perez","Brewers","107","375","11","26","45","0","4.5 %","12.5 %",".149",".286",".271",".304",".420",".310","84","-8.5","-16.3","8.0","0.4","400"
"2006","Jack Wilson","Pirates","142","594","8","70","35","4","5.6 %","10.9 %",".098",".295",".273",".316",".370",".302","79","-1.3","-18.0","2.2","0.4","1017"
"2005","Frank Thomas","White Sox","34","124","12","19","26","0","12.9 %","25.0 %",".371",".169",".219",".315",".590",".374","128","-1.4","2.8","-3.0","0.4","255"
"2005","Casey Kotchman","Angels","47","143","7","16","22","1","10.5 %","12.6 %",".206",".275",".278",".352",".484",".362","125","-0.2","4.2","-5.0","0.4","1930"
"2009","Michael Aubrey","Orioles","31","95","4","12","14","0","5.3 %","10.5 %",".211",".289",".289",".326",".500",".356","112","0.3","1.8","-1.0","0.4","6049"
"2004","Benito Santiago","Royals","49","189","6","15","23","1","4.2 %","16.9 %",".160",".304",".274",".312",".434",".322","87","-1.8","-4.9","2.6","0.4","1130"
"2003","Paul Bako","Cubs","70","213","0","19","17","0","10.3 %","22.1 %",".101",".303",".229",".311",".330",".283","67","0.8","-8.3","5.4","0.4","676"
"2009","Bobby Scales","Cubs","51","138","3","15","15","0","8.0 %","23.2 %",".169",".300",".242",".312",".411",".314","84","-0.3","-3.0","2.5","0.4","2673"
"2006","Jason Repko","Dodgers","69","150","3","21","16","10","10.0 %","16.0 %",".123",".291",".254",".345",".377",".321","91","1.9","0.1","-1.0","0.4","2628"
"2003","Mike Matheny","Cardinals","141","498","8","43","47","1","8.8 %","16.3 %",".104",".290",".252",".320",".356",".289","72","-2.8","-20.7","8.4","0.4","1169"
"2004","Eric Bruntlett","Astros","45","61","4","14","8","4","11.5 %","21.3 %",".269",".243",".250",".328",".519",".354","111","1.4","2.2","-0.2","0.4","1753"
"2002","Morgan Ensberg","Astros","49","153","3","14","19","2","11.8 %","16.3 %",".152",".279",".242",".346",".394",".332","96","-2.3","-3.0","2.0","0.4","556"
"2006","Mike Vento","Nationals","9","22","0","3","1","0","18.2 %","22.7 %",".056",".385",".278",".409",".333",".330","99","0.2","0.1","3.2","0.4","2149"
"2009","Alex Gordon","Royals","49","189","6","28","22","5","11.1 %","22.8 %",".146",".276",".232",".324",".378",".315","87","2.3","-0.9","-1.6","0.4","5209"
"2005","Chris Snelling","Mariners","15","35","1","4","1","0","14.3 %","5.7 %",".172",".269",".276",".382",".448",".367","130","-0.6","0.7","2.0","0.4","1480"
"2006","Tony Womack","- - -","28","80","1","7","5","1","10.0 %","8.8 %",".088",".283",".265",".342",".353",".308","78","0.3","-2.0","3.4","0.4","78"
"2001","Tony Eusebio","Astros","59","174","5","16","14","0","9.8 %","19.5 %",".149",".296",".253",".339",".403",".321","88","0.0","-2.8","1.1","0.4","1003854"
"2000","Mike Stanley","- - -","90","331","14","33","46","0","13.3 %","19.6 %",".191",".257",".238",".339",".429",".338","95","0.0","-2.0","-5.7","0.4","1012416"
"2000","Hal Morris","- - -","99","204","3","24","14","0","15.2 %","12.7 %",".118",".312",".278",".391",".396",".351","104","0.0","1.1","-4.0","0.4","1009209"
"2004","Eric Valent","Mets","130","300","13","39","34","0","9.3 %","20.3 %",".215",".299",".267",".337",".481",".347","110","-1.3","2.4","-8.5","0.4","1629"
"2001","Terry Shumpert","Rockies","114","265","4","37","24","14","5.7 %","16.6 %",".149",".338",".289",".337",".438",".333","80","1.5","-5.5","0.8","0.4","449"
"2006","Kaz Matsui","- - -","70","265","3","32","26","10","6.0 %","17.4 %",".111",".316",".267",".310",".379",".300","72","3.5","-6.4","1.5","0.4","1854"
"2002","Angel Echevarria","Cubs","50","111","3","14","21","0","7.2 %","15.3 %",".163",".329",".306",".351",".469",".352","115","-0.8","1.3","-1.0","0.4","1498"
"2004","Tony Graffanino","Royals","75","314","3","37","26","10","8.6 %","12.1 %",".072",".293",".263",".332",".335",".302","73","1.4","-9.4","2.7","0.4","235"
"2009","Alcides Escobar","Brewers","38","134","1","20","11","4","3.0 %","13.4 %",".064",".346",".304",".333",".368",".312","87","1.6","-0.5","0.1","0.4","6310"
"2003","Joe McEwing","Mets","119","313","1","31","16","3","8.0 %","18.2 %",".050",".299",".241",".309",".291",".270","60","1.2","-14.7","8.4","0.4","887"
"2006","Norris Hopper","Reds","21","47","1","6","5","2","12.8 %","8.5 %",".103",".371",".359",".435",".462",".394","135","-0.8","1.3","1.1","0.4","2450"
"2002","Luis Rivas","Twins","93","346","4","46","35","9","5.5 %","14.7 %",".136",".295",".256",".305",".392",".304","81","0.7","-7.5","-0.4","0.4","753"
"2008","Austin Kearns","Nationals","86","357","7","40","32","2","9.8 %","17.6 %",".099",".250",".217",".311",".316",".289","70","0.0","-13.4","5.7","0.4","332"
"2003","So Taguchi","Cardinals","43","59","3","9","13","0","6.8 %","18.6 %",".259",".275",".259",".310",".519",".345","109","-0.2","0.5","1.5","0.4","1186"
"2001","Fernando Lunar","Orioles","64","180","0","8","16","0","3.9 %","17.8 %",".042",".301",".246",".287",".287",".258","56","0.0","-10.1","7.7","0.4","1459"
"2000","Brian Lesher","Mariners","5","6","0","1","3","1","16.7 %","0.0 %",".600",".800",".800",".833","1.400",".887","451","0.2","3.1","0.8","0.4","1309"
"2000","Damon Minor","Giants","10","11","3","3","6","0","18.2 %","9.1 %","1.000",".200",".444",".545","1.444",".744","359","0.0","3.9","-0.1","0.4","1411"
"2000","Shane Halter","Tigers","105","265","3","26","27","5","5.3 %","18.5 %",".105",".314",".261",".302",".366",".295","71","0.1","-10.4","4.6","0.4","468"
"2007","Jesus Flores","Nationals","79","197","4","21","25","0","7.1 %","24.4 %",".117",".313",".244",".310",".361",".301","79","-0.7","-6.0","3.4","0.4","4166"
"2008","Mike Hessman","Tigers","12","31","5","6","7","0","6.5 %","29.0 %",".593",".231",".296",".387",".889",".518","224","0.2","4.9","-2.1","0.4","1808"
"2003","Vance Wilson","Mets","96","292","8","28","39","1","5.1 %","19.2 %",".131",".277",".243",".293",".373",".292","74","-2.7","-12.3","6.6","0.4","903"
"2000","Jose Guillen","Devil Rays","105","349","10","40","41","3","5.2 %","18.6 %",".177",".290",".253",".320",".430",".327","88","0.2","-5.7","-2.8","0.4","57"
"2003","Brook Fordyce","Orioles","108","376","6","28","31","2","5.1 %","11.7 %",".098",".297",".273",".311",".371",".299","82","-3.0","-11.7","2.6","0.4","138"
"2007","Wilson Valdez","Dodgers","41","80","0","12","7","1","5.0 %","15.0 %",".054",".254",".216",".263",".270",".241","40","2.4","-3.8","5.1","0.4","1863"
"2002","So Taguchi","Cardinals","19","19","0","4","2","1","10.5 %","5.3 %",".000",".429",".400",".471",".400",".398","146","0.8","1.9","1.3","0.4","1186"
"2008","Jason LaRue","Cardinals","61","189","4","17","21","0","7.9 %","10.6 %",".134",".218",".213",".296",".348",".287","71","-1.2","-8.0","5.7","0.4","337"
"2006","Dioner Navarro","- - -","81","302","6","28","28","2","10.3 %","16.9 %",".101",".292",".254",".332",".354",".300","78","-2.6","-11.1","4.6","0.4","3179"
"2005","Willie Bloomquist","Mariners","82","267","0","27","22","14","4.1 %","14.2 %",".076",".300",".257",".289",".333",".275","67","3.9","-6.8","1.6","0.4","1066"
"2005","Frank Menechino","Blue Jays","70","180","4","22","13","0","13.9 %","18.3 %",".128",".252",".216",".352",".345",".321","93","-0.3","-1.9","-0.4","0.4","931"
"2007","Jamie Burke","Mariners","50","129","1","19","12","0","5.4 %","13.2 %",".097",".347",".301",".363",".398",".342","109","-0.7","0.6","-1.2","0.4","6"
"2003","Chris Truby","Devil Rays","13","49","0","4","3","0","10.2 %","26.5 %",".070",".400",".279",".354",".349",".319","93","0.4","0.0","2.2","0.4","799"
"2007","Julio Lugo","Red Sox","147","630","8","71","73","33","7.6 %","13.0 %",".112",".262",".237",".294",".349",".286","66","3.5","-23.6","5.7","0.4","565"
"2003","Keith Lockhart","Padres","62","111","3","18","8","0","11.7 %","17.1 %",".168",".274",".242",".339",".411",".332","105","-0.8","-0.2","0.3","0.4","1380"
"2000","James Mouton","Brewers","87","197","2","28","17","13","15.2 %","21.8 %",".094",".304",".233",".363",".327",".323","85","0.8","-3.1","0.4","0.4","1009268"
"2008","Augie Ojeda","Diamondbacks","105","272","0","27","17","0","9.6 %","8.8 %",".056",".269",".242",".343",".299",".298","71","-0.2","-10.2","5.1","0.4","297"
"2005","Humberto Cota","Pirates","93","320","7","29","43","0","5.3 %","25.0 %",".145",".305",".242",".285",".387",".290","73","0.4","-10.5","3.8","0.4","1595"
"2006","Kelly Shoppach","Indians","41","120","3","7","16","0","6.7 %","37.5 %",".136",".387",".245",".297",".382",".297","75","-0.8","-4.7","4.4","0.4","3867"
"2003","Fred McGriff","Dodgers","86","329","13","32","40","0","9.4 %","20.1 %",".178",".280",".249",".322",".428",".324","98","-2.5","-3.3","-3.7","0.4","293"
"2008","Chase Headley","Padres","91","368","9","34","38","4","8.2 %","28.3 %",".151",".364",".269",".337",".420",".334","107","0.5","3.9","-12.1","0.4","4720"
"2005","John Olerud","Red Sox","87","192","7","18","37","0","8.3 %","10.4 %",".162",".289",".289",".344",".451",".341","105","-2.9","-1.8","-1.0","0.4","1093"
"2004","Felipe Lopez","Reds","79","295","7","35","31","1","8.5 %","27.5 %",".163",".322",".242",".314",".405",".315","85","2.5","-3.3","-2.8","0.4","1311"
"2008","Greg Norton","- - -","117","220","7","29","35","0","15.0 %","20.0 %",".176",".309",".262",".373",".439",".355","115","-0.7","3.5","-7.0","0.4","1388"
"2002","Reggie Taylor","Reds","135","311","9","41","38","11","4.5 %","25.4 %",".174",".317",".254",".291",".429",".306","81","0.1","-7.4","1.0","0.4","358"
"2005","Angel Berroa","Royals","159","652","11","68","55","7","2.8 %","16.6 %",".105",".312",".270",".305",".375",".298","76","3.1","-15.7","-2.6","0.4","591"
"2003","John Flaherty","Yankees","40","116","4","16","14","0","3.4 %","16.4 %",".190",".289",".267",".297",".457",".319","93","-1.7","-2.7","2.4","0.4","1206"
"2002","Dave Hansen","Dodgers","96","135","2","15","17","1","10.4 %","16.3 %",".100",".340",".292",".363",".392",".329","104","-0.1","0.6","-1.3","0.4","1403"
"2005","Jacob Cruz","Reds","110","145","4","12","18","0","11.0 %","31.7 %",".173",".333",".236",".324",".409",".320","90","-0.4","-2.2","1.2","0.4","463"
"2008","Ryan Shealy","Royals","20","79","7","12","20","0","6.3 %","24.1 %",".301",".319",".301",".354",".603",".408","149","-1.6","3.3","-2.2","0.4","4443"
"2007","Marco Scutaro","Athletics","104","379","7","49","41","2","9.2 %","10.6 %",".101",".276",".260",".332",".361",".311","88","-0.8","-6.6","-2.7","0.4","1555"
"2000","Luis Lopez","Brewers","78","225","6","24","27","1","4.0 %","15.6 %",".159",".290",".264",".309",".423",".316","81","-0.7","-6.5","2.8","0.4","695"
"2008","Luis Castillo","Mets","87","359","3","46","28","17","13.9 %","9.7 %",".060",".267",".245",".355",".305",".307","84","2.6","-4.5","-3.5","0.4","513"
"2000","Jeff Conine","Orioles","119","452","13","53","46","4","8.0 %","11.7 %",".154",".297",".284",".341",".438",".340","100","-0.5","-0.7","-11.1","0.4","131"
"2007","Luis Hernandez","Orioles","30","71","1","5","7","2","1.4 %","14.1 %",".072",".328",".290",".300",".362",".292","72","0.1","-2.4","3.7","0.4","3206"
"2004","Ryan Howard","Phillies","19","42","2","5","5","0","4.8 %","31.0 %",".282",".375",".282",".333",".564",".379","126","-0.2","1.2","1.2","0.4","2154"
"2000","Carlos Guillen","Mariners","90","328","7","45","42","1","8.5 %","16.2 %",".139",".290",".257",".324",".396",".318","86","-1.1","-7.4","-0.3","0.4","1079"
"2001","Javier Cardona","Tigers","46","102","1","10","10","0","2.0 %","11.8 %",".115",".286",".260",".280",".375",".283","72","-0.4","-4.1","4.2","0.4","1023"
"2009","Michael Morse","Nationals","32","55","3","4","10","0","5.5 %","29.1 %",".231",".303",".250",".291",".481",".331","99","0.1","0.0","1.9","0.4","3035"
"2001","Vance Wilson","Mets","32","62","0","3","6","0","3.2 %","25.8 %",".053",".405",".298",".339",".351",".307","86","-0.4","-1.6","3.2","0.4","903"
"2004","Kaz Matsui","Mets","114","509","7","65","44","14","7.9 %","19.1 %",".124",".330",".272",".331",".396",".317","90","1.2","-5.4","-8.1","0.4","1854"
"2001","Jose Guillen","Devil Rays","41","145","3","14","11","2","4.1 %","17.9 %",".104",".318",".274",".317",".378",".300","80","-0.9","-4.5","3.1","0.4","57"
"2002","Tom Wilson","Blue Jays","96","302","8","33","37","0","9.3 %","26.2 %",".128",".330",".257",".334",".385",".320","91","0.5","-3.0","-3.6","0.4","1328"
"2009","Francisco Cervelli","Yankees","42","101","1","13","11","0","2.0 %","10.9 %",".074",".325",".298",".309",".372",".299","74","-1.2","-4.5","4.7","0.4","5275"
"2000","Felipe Crespo","Giants","89","150","4","17","29","3","6.7 %","15.3 %",".153",".318",".290",".351",".443",".342","101","-0.3","-0.1","-1.1","0.4","1002763"
"2008","Travis Snider","Blue Jays","24","80","2","9","13","0","6.3 %","28.8 %",".164",".400",".301",".338",".466",".346","110","0.8","1.8","-0.9","0.4","2830"
"2000","Chris Donnels","Dodgers","27","41","4","8","9","0","14.6 %","17.1 %",".441",".250",".294",".390",".735",".446","170","0.0","3.9","-1.3","0.4","1396"
"2007","Freddie Bynum","Orioles","70","101","2","21","11","8","2.0 %","29.7 %",".188",".359",".260",".290",".448",".317","89","1.6","0.2","0.0","0.4","2099"
"2003","Ben Petrick","- - -","46","131","4","18","12","0","6.1 %","23.7 %",".148",".264",".221",".269",".369",".279","69","0.9","-4.3","3.5","0.4","1471"
"2008","Carlos Ruiz","Phillies","117","373","4","47","31","1","11.8 %","10.2 %",".081",".237",".219",".320",".300",".282","64","-0.9","-17.8","9.3","0.4","2579"
"2006","Ben Johnson","Padres","58","135","4","19","12","3","10.4 %","26.7 %",".175",".325",".250",".333",".425",".326","100","-0.7","-0.7","-0.1","0.4","2731"
"2001","Luis Matos","Orioles","31","112","4","16","12","7","9.8 %","26.8 %",".194",".266",".214",".300",".408",".309","90","1.4","-0.1","-0.1","0.4","152"
"2006","Wilson Betemit","- - -","143","412","18","49","53","3","8.7 %","24.8 %",".206",".314",".263",".326",".469",".336","100","-1.8","-1.9","-8.2","0.4","1861"
"2008","Jose Molina","Yankees","100","297","3","32","18","0","4.0 %","17.5 %",".097",".255",".216",".263",".313",".258","51","-1.6","-19.7","13.2","0.4","25"
"2008","Paul Konerko","White Sox","122","514","22","59","62","2","12.6 %","15.6 %",".199",".244",".240",".344",".438",".343","104","-7.1","-4.6","-9.3","0.4","242"
"2004","Mark Sweeney","Rockies","122","215","9","25","40","1","14.9 %","23.7 %",".243",".314",".266",".377",".508",".375","114","0.1","3.9","-7.5","0.4","1408"
"2005","Terrence Long","Royals","137","489","6","62","53","3","6.1 %","11.5 %",".099",".305",".279",".321",".378",".308","83","1.2","-8.8","-4.2","0.4","927"
"2008","Dusty Ryan","Tigers","15","50","2","6","7","0","10.0 %","26.0 %",".182",".400",".318",".380",".500",".381","132","0.4","2.3","-0.5","0.4","2312"
"2006","Curtis Pride","Angels","22","33","1","6","2","0","18.2 %","24.2 %",".185",".278",".222",".364",".407",".345","107","-0.3","0.0","2.6","0.4","1762"
"2002","Roosevelt Brown","Cubs","111","231","3","14","23","2","10.0 %","21.6 %",".103",".263",".211",".299",".314",".279","67","-1.0","-10.4","6.4","0.4","268"
"2002","Bubba Trammell","Padres","133","465","17","54","56","1","11.4 %","15.3 %",".171",".255",".243",".333",".414",".329","104","-0.4","2.2","-13.7","0.4","1057"
"2004","Tony Clark","Yankees","106","283","16","37","49","0","9.2 %","32.5 %",".237",".272",".221",".297",".458",".319","92","0.3","-2.7","-3.3","0.4","182"
"2000","Jeff Manto","Rockies","7","7","1","2","4","0","28.6 %","0.0 %","1.000",".750",".800",".857","1.800",".969","477","0.0","3.6","0.0","0.4","1008083"
"2001","Rickey Henderson","Padres","123","465","8","70","42","25","17.4 %","18.1 %",".124",".270",".227",".366",".351",".328","102","1.9","2.9","-14.3","0.4","194"
"2006","Michael Tucker","Mets","35","74","1","3","6","2","21.6 %","18.9 %",".125",".238",".196",".378",".321",".329","97","0.1","-0.3","1.4","0.4","635"
"2009","Oscar Salazar","- - -","72","154","5","16","25","0","9.1 %","13.0 %",".194",".322",".302",".364",".496",".371","131","-2.4","3.5","-5.0","0.4","495"
"2002","Matt Williams","Diamondbacks","60","238","12","29","40","3","8.8 %","17.2 %",".219",".268",".260",".324",".479",".344","103","-2.3","-1.4","-2.8","0.4","77"
"2001","Roosevelt Brown","Cubs","39","92","4","13","22","0","7.6 %","13.0 %",".241",".265",".265",".326",".506",".352","113","0.0","1.5","-0.9","0.4","268"
"2003","Miguel Ojeda","Padres","61","163","4","13","22","1","11.0 %","16.0 %",".128",".259",".234",".331",".362",".307","89","-0.8","-3.1","1.4","0.4","1712"
"2008","Rich Aurilia","Giants","140","440","10","33","52","1","6.8 %","12.7 %",".130",".306",".283",".332",".413",".325","94","-2.8","-6.3","-4.5","0.4","1106"
"2002","Delino DeShields","Cubs","67","174","3","20","10","10","12.1 %","21.8 %",".116",".236",".192",".292",".308",".269","60","3.5","-5.1","3.0","0.4","275"
"2008","Julio Lugo","Red Sox","82","307","1","27","22","12","11.1 %","16.6 %",".061",".322",".268",".355",".330",".315","85","-3.2","-8.9","1.9","0.3","565"
"2008","Hank Blalock","Rangers","65","281","12","37","38","1","6.8 %","14.2 %",".221",".298",".287",".338",".508",".361","116","-4.9","0.8","-6.9","0.3","1419"
"2002","B.J. Surhoff","Braves","25","85","0","5","9","1","10.6 %","5.9 %",".067",".314",".293",".369",".360",".331","100","-0.6","-0.6","1.3","0.3","117"
"2009","Raul Chavez","Blue Jays","51","168","2","10","15","1","3.6 %","13.7 %",".088",".291",".258",".285",".346",".279","63","-1.2","-9.0","6.7","0.3","553"
"2002","Brian Daubach","Red Sox","137","506","20","62","78","2","10.1 %","24.9 %",".198",".325",".266",".348",".464",".351","112","-3.2","4.6","-18.3","0.3","186"
